Economy,Original Group,Group,GDP PPP (B),GDPxr (B),Expenditure Per Capita,ExPCxr,Price Level index,Expenditure Per Capita Index by World,Expenditure Per Capita Index by World XR,Expenditure Per Capita Index by USA,Expenditure Per Capita Index by USA XR,Expenditure Share,Expenditure Share XR,Population Share,PPP,Exchange Rate,Population (M),Local Expenditure (B)
Ecuador,LATIN AMERICA,Other,$152,$80,$9932,$5226,67.9,73.8,50.1,20,10.5,0.2,0.1,0.2,0.526,1,15.27,79.8
El Salvador,LATIN AMERICA,Other,$46,$23,$7357,$3701,64.9,54.7,35.5,14.8,7.4,0.1,0,0.1,0.503,1,6.25,23.1
Guatemala,LATIN AMERICA,Other,$102,$48,$6971,$3247,60.1,51.8,31.1,14,6.5,0.1,0.1,0.2,3.626,7.785,14.69,371.3
Haiti,LATIN AMERICA,Other,$16,$7,$1557,$734,60.8,11.6,7,3.1,1.5,0,0,0.1,19.108,40.523,10.01,297.7
Honduras,LATIN AMERICA,Other,$34,$18,$4349,$2282,67.7,32.3,21.9,8.7,4.6,0,0,0.1,9.915,18.895,7.77,335
Nicaragua,LATIN AMERICA,Other,$24,$10,$4111,$1635,51.3,30.5,15.7,8.3,3.3,0,0,0.1,8.919,22.424,5.89,216.1
Panama,LATIN AMERICA,Other,$57,$31,$15369,$8411,70.6,114.2,80.6,30.9,16.9,0.1,0,0.1,0.547,1,3.72,31.3
Paraguay,LATIN AMERICA,Other,$47,$25,$7193,$3836,68.8,53.4,36.8,14.4,7.7,0.1,0,0.1,2227.34,4176.066,6.57,105203.2
Peru,LATIN AMERICA,Other,$327,$181,$10981,$6066,71.2,81.6,58.1,22.1,12.2,0.4,0.3,0.4,1.521,2.754,29.8,497.8
Uruguay,LATIN AMERICA,Other,$59,$46,$17343,$13722,102,128.8,131.5,34.8,27.6,0.1,0.1,0.1,15.282,19.314,3.38,896.8
Venezuela RB,LATIN AMERICA,Other,$500,$317,$16965,$10731,81.6,126,102.8,34.1,21.6,0.6,0.5,0.4,2.713,4.289,29.49,1357.5
LATIN AMERICA,WORLD,World,$4941,$3719,$12443,$9366,97.1,92.4,89.7,25,18.8,5.5,5.3,5.9,,,397.09,
Anguilla,CARIBBEAN,Other,$0,$0,$27274,$20982,99.2,202.6,201,54.8,42.1,0,0,0,2.077,2.7,0.01,0.8
Antigua and Barbuda,CARIBBEAN,Other,$2,$1,$20540,$13172,82.7,152.6,126.2,41.3,26.5,0,0,0,1.731,2.7,0.09,3
Aruba,CARIBBEAN,Other,$4,$3,$36017,$25355,90.8,267.6,242.9,72.3,50.9,0,0,0,1.26,1.79,0.1,4.6
Bahamas The,CARIBBEAN,Other,$8,$8,$22639,$21490,122.4,168.2,205.9,45.5,43.2,0,0,0,0.949,1,0.37,7.9
Barbados,CARIBBEAN,Other,$4,$4,$15354,$15483,130,114.1,148.3,30.8,31.1,0,0,0,2.017,2,0.28,8.7
Belize,CARIBBEAN,Other,$3,$2,$8212,$4721,74.1,61,45.2,16.5,9.5,0,0,0,1.15,2,0.32,3
Bermuda,CARIBBEAN,Other,$4,$6,$54899,$85839,201.6,407.9,822.4,110.3,172.4,0,0,0,1.564,1,0.06,5.638
Cayman Islands,CARIBBEAN,Other,$3,$3,$49686,$56883,147.6,369.1,544.9,99.8,114.3,0,0,0,0.959,0.838,0.06,2.7
Curaçao,CARIBBEAN,Other,$4,$3,$27781,$20055,93.1,206.4,192.1,55.8,40.3,0,0,0,1.292,1.79,0.15,5.4
Dominica,CARIBBEAN,Other,$1,$1,$9983,$6881,88.9,74.2,65.9,20.1,13.8,0,0,0,1.861,2.7,0.07,1.3
Grenada,CARIBBEAN,Other,$1,$1,$11221,$7410,85.2,83.4,71,22.5,14.9,0,0,0,1.783,2.7,0.11,2.1
Jamaica,CARIBBEAN,Other,$23,$15,$8329,$5248,81.3,61.9,50.3,16.7,10.5,0,0,0,54.122,85.892,2.75,1241.8
Montserrat,CARIBBEAN,Other,$0,$0,$15762,$11343,92.8,117.1,108.7,31.7,22.8,0,0,0,1.943,2.7,0.01,0.2
St. Kitts and Nevis,CARIBBEAN,Other,$1,$1,$20582,$13744,86.1,152.9,131.7,41.3,27.6,0,0,0,1.803,2.7,0.05,2
St. Lucia,CARIBBEAN,Other,$2,$1,$9893,$6755,88.1,73.5,64.7,19.9,13.6,0,0,0,1.844,2.7,0.18,3.3
St. Vincent and the Grenadines,CARIBBEAN,Other,$1,$1,$9883,$6191,80.8,73.4,59.3,19.9,12.4,0,0,0,1.691,2.7,0.11,1.8
Sint Maarten,CARIBBEAN,Other,$1,$1,$32972,$25402,99.3,245,243.4,66.2,51,0,0,0,1.379,1.79,0.04,1.7
Suriname,CARIBBEAN,Other,$8,$4,$14463,$8082,72.1,107.4,77.4,29.1,16.2,0,0,0,1.826,3.268,0.54,14.3
Trinidad and Tobago,CARIBBEAN,Other,$38,$24,$28743,$17660,79.2,213.5,169.2,57.7,35.5,0,0,0,3.938,6.409,1.33,150.9
Turks and Caicos Islands,CARIBBEAN,Other,$1,$1,$20878,$22971,141.9,155.1,220.1,41.9,46.1,0,0,0,1.1,1,0.03,0.7
Virgin Islands British,CARIBBEAN,Other,$1,$1,$30290,$32580,138.7,225,312.1,60.8,65.4,0,0,0,1.076,1,0.03,0.9
CARIBBEAN,WORLD,World,$109,$78,$16351,$11732,92.5,121.5,112.4,32.8,23.6,0.1,0.1,0.1,,,6.69,
Bahrain,WESTERN ASIA,Other,$52,$29,$43360,$24200,72,322.1,231.8,87.1,48.6,0.1,0,0,0.211,0.378,1.2,10.9
Egypt Arab Rep.,WESTERN ASIA,Other,$844,$230,$10599,$2888,35.1,78.7,27.7,21.3,5.8,0.9,0.3,1.2,1.625,5.964,79.62,1371.1
Iraq,WESTERN ASIA,Other,$371,$160,$11130,$4794,55.5,82.7,45.9,22.4,9.6,0.4,0.2,0.5,516.521,1199.2,33.34,191652.9
Jordan,WESTERN ASIA,Other,$70,$29,$11169,$4615,53.3,83,44.2,22.4,9.3,0.1,0,0.1,0.293,0.71,6.25,20.5
Kuwait,WESTERN ASIA,Other,$258,$161,$84058,$52379,80.4,624.5,501.8,168.9,105.2,0.3,0.2,0,0.172,0.276,3.07,44.3
Oman,WESTERN ASIA,Other,$140,$70,$42619,$21234,64.2,316.6,203.4,85.6,42.7,0.2,0.1,0,0.192,0.385,3.3,26.9
Palestinian Territory,WESTERN ASIA,Other,$16,$10,$3833,$2345,78.9,28.5,22.5,7.7,4.7,0,0,0.1,2.189,3.578,4.17,35
Qatar,WESTERN ASIA,Other,$258,$171,$146521,$97091,85.4,1088.5,930.1,294.3,195,0.3,0.2,0,2.419,3.65,1.76,624.2
Saudi Arabia,WESTERN ASIA,Other,$1367,$670,$48163,$23594,63.2,357.8,226,96.7,47.4,1.5,1,0.4,1.837,3.75,28.38,2510.6
